image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox,age_group,age,cluster,validation_type
prom110,male,Prom,,pants/trousers,shirt_blouse,coat,black,green,collar,hip_length,full_length,button,long,,"[177.1443, 151.78244, 450.44147, 523.95844]","[229.01814, 430.12238, 424.94092, 897.58936]",16-20,19,0,rule_based
Sports47,male,Sports,,athletic_pants,sweatshirt_hoodies,,black,black,round_neck,hip_length,full_length,zip,long,,"[141.98111, 84.08925, 346.5784, 287.83963]","[181.37941, 287.03644, 304.04526, 557.5142]",16-20,17,0,rule_based
dating (173),female,Dating,dress,,,,,blue,v_neck,knee_length,,pullover,short,"[394.87384, 380.53983, 645.0537, 928.76263]",,,31-40,32,1,rule_based
party (59),male,Party,,pants/trousers,t_shirt,coat,grey,grey,turtleneck,hip_length,full_length,pullover,long,,"[99.55844, 115.62974, 286.52847, 410.30624]","[136.15747, 343.10077, 262.96152, 554.01587]",16-20,20,0,rule_based
Travel261,female,Travel,,pants/trousers,top_others,,black,white,round_neck,hip_length,full_length,pullover,three_quarter,,"[463.8489, 347.57602, 620.1705, 544.9171]","[451.98557, 517.5984, 628.66565, 861.3122]",16-20,16,2,random_check
dating (155),female,Dating,,skirt,shirt_blouse,,white,white,off_shoulder,crop,thigh_length,pullover,short,,"[361.95557, 487.375, 692.5337, 859.5881]","[392.68082, 611.5254, 629.3064, 874.92145]",26-30,29,2,random_check
wedding (38),male,Wedding,,pants/trousers,shirt_blouse,coat,brown,brown,collar,hip_length,full_length,button,long,,"[71.934395, 218.17862, 469.6756, 678.0426]","[137.33064, 459.649, 463.3044, 706.9932]",26-30,26,0,rule_based
Travel427,male,Travel,,jeans,t_shirt,jacket,blue,white,round_neck,hip_length,full_length,pullover,long,,"[138.39398, 91.71832, 381.4802, 326.5093]","[181.12006, 314.28976, 320.78113, 570.59595]",21-25,25,2,rule_based
dating (75),female,Dating,,jeans,shirt_blouse,,blue,blue,collar,hip_length,calf_length,button,three_quarter,,"[312.7386, 500.0086, 542.07825, 769.4046]","[340.58026, 692.24286, 544.352, 1059.1719]",21-25,24,0,rule_based
Travel22,male,Travel,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,short,,"[157.87695, 81.359436, 305.46747, 257.88223]","[181.00288, 224.20038, 301.4431, 469.05603]",16-20,20,0,rule_based
Sports216,female,Sports,,skirt,tank_top,,silver,grey,round_neck,hip_length,thigh_length,pullover,sleeveless,,"[340.32718, 237.67809, 542.2155, 447.27167]","[340.78116, 425.4565, 546.81915, 808.59393]",16-20,16,3,rule_based
prom189,female,Prom,,pants/trousers,t_shirt,jacket,black,black,collar,crop,full_length,pullover,three_quarter,,"[367.6139, 287.59485, 693.4945, 658.79224]","[404.5343, 512.1237, 676.3464, 1201.9839]",16-20,19,3,rule_based
dating (297),female,Dating,dress,,,,,pink,off_shoulder,thigh_length,,pullover,short,"[235.95789, 127.40892, 404.25897, 406.3205]",,,31-40,35,1,random_check
office265,female,Office,,leggings,top_others,,black,multi,round_neck,hip_length,full_length,pullover,short,,"[260.12247, 459.13043, 503.68564, 837.28265]","[317.7947, 762.2236, 532.35034, 1013.00616]",31-40,32,2,rule_based
party (309),male,Party,,pants/trousers,t_shirt,coat,white,black,round_neck,hip_length,full_length,pullover,long,,"[140.04156, 125.451866, 386.49854, 427.3727]","[173.91562, 344.23248, 327.81638, 649.60364]",16-20,18,0,rule_based
party (101),female,Party,,leggings,top_others,,black,black,v_neck,crop,full_length,pullover,sleeveless,,"[286.74997, 296.79153, 467.3088, 651.50836]","[350.66553, 635.4304, 392.4084, 709.1323]",21-25,25,3,rule_based
wedding (183),female,Wedding,dress,,,,,red,off_shoulder,below_knee,,pullover,sleeveless,"[115.07266, 226.67317, 327.1654, 586.8306]",,,26-30,27,1,rule_based
wedding (126),male,Wedding,,pants/trousers,shirt_blouse,coat,white,multi,collar,hip_length,full_length,button,long,,"[112.32559, 211.45168, 284.36078, 443.5441]","[136.47224, 369.14145, 250.95374, 629.25415]",16-20,17,0,rule_based
wedding (164),female,Wedding,dress,,,,,white,halter_neck,below_knee,,pullover,short,"[170.36357, 122.088135, 373.5217, 552.555]",,,31-40,36,1,rule_based
prom149,female,Prom,dress,,,,,red,v_neck,below_knee,,pullover,sleeveless,"[12.734432, 64.291824, 238.84682, 319.75854]",,,16-20,19,1,rule_based
Travel482,male,Travel,,pants/trousers,shirt_blouse,,brown,multi,collar,hip_length,full_length,button,three_quarter,,"[160.8422, 82.347046, 317.98398, 249.7462]","[171.74722, 229.83344, 286.29504, 500.91553]",16-20,16,0,random_check
office237,female,Office,,jeans,top_others,,blue,orange,round_neck,crop,full_length,pullover,sleeveless,,"[418.78976, 200.65211, 584.23676, 386.72165]","[328.0458, 389.09647, 680.45483, 951.2216]",31-40,40,2,random_check
dating (115),female,Dating,,jeans,t_shirt,blazer,black,white,collar,hip_length,full_length,button,long,,"[478.05536, 179.40265, 927.923, 635.35425]","[516.6318, 444.7243, 825.1674, 955.94257]",21-25,23,2,random_check
wedding (99),male,Wedding,,pants/trousers,shirt_blouse,coat,grey,grey,collar,hip_length,full_length,button,long,,"[136.98637, 86.58339, 320.15228, 285.83066]","[175.44878, 242.70694, 280.42123, 490.5765]",26-30,28,0,random_check
Travel259,female,Travel,,shorts,t_shirt,,white,white,round_neck,hip_length,extra_short,pullover,short,,"[508.62973, 461.93823, 800.00696, 1030.8843]","[189.70195, 1121.8173, 418.71304, 1320.5062]",31-40,33,2,rule_based
dating (238),female,Dating,,skirt,sweater,,multi,black,turtleneck,hip_length,thigh_length,pullover,long,,"[465.70654, 151.29414, 676.39105, 391.55606]","[442.6196, 596.6882, 656.22046, 958.6223]",26-30,27,0,rule_based
dating (386),male,Dating,,jeans,shirt_blouse,,grey,blue,collar,hip_length,full_length,button,short,,"[243.29398, 140.0385, 433.93765, 438.44266]","[223.56714, 399.05972, 378.5826, 726.4384]",21-25,21,0,rule_based
Travel285,female,Travel,,leggings,top_others,blazer,black,black,turtleneck,hip_length,full_length,pullover,long,,"[387.26614, 340.9428, 791.95593, 791.0065]","[437.3339, 733.7713, 646.5652, 1059.1018]",21-25,25,2,rule_based
dating (151),female,Dating,,shorts,shirt_blouse,,blue,white,halter_neck,crop,extra_short,button,short,,"[190.83615, 198.24226, 716.2488, 510.56656]","[281.8564, 493.5743, 555.9951, 714.4936]",26-30,28,2,random_check
prom338,female,Prom,dress,,,,,blue,off_shoulder,thigh_length,,pullover,sleeveless,"[74.67856, 277.9042, 555.9469, 695.42114]",,,16-20,16,1,random_check
dating (177),female,Dating,,athletic_pants,sweatshirt_hoodies,,grey,grey,round_neck,hip_length,calf_length,pullover,short,,"[252.45639, 144.67012, 537.0179, 583.61456]","[266.40912, 282.7679, 481.79062, 609.04944]",21-25,23,1,rule_based
wedding (142),male,Wedding,,pants/trousers,shirt_blouse,blazer,black,grey,collar,hip_length,full_length,button,long,,"[118.85235, 140.18643, 312.09204, 351.2384]","[145.43515, 293.6446, 310.154, 548.41296]",26-30,27,0,rule_based
wedding (170),female,Wedding,,skirt,top_others,,red,pink,round_neck,hip_length,calf_length,pullover,long,,"[171.82669, 166.19965, 298.6443, 347.66077]","[150.13387, 274.87393, 303.57944, 509.58038]",31-40,34,2,rule_based
dating (180),female,Dating,dress,,,,,orange,halter_neck,below_knee,,button,short,"[389.2083, 246.7523, 668.47565, 998.95575]",,,31-40,38,1,rule_based
Travel436,male,Travel,,shorts,t_shirt,,blue,white,round_neck,hip_length,knee_length,pullover,short,,"[150.06856, 179.20593, 295.12973, 379.5504]","[167.84554, 376.29648, 297.5426, 494.63022]",31-40,33,2,rule_based
prom066,male,Prom,,pants/trousers,shirt_blouse,blazer,grey,grey,collar,hip_length,full_length,button,long,,"[190.42517, 167.02205, 497.62592, 516.57837]","[243.73007, 456.81738, 483.21133, 894.3413]",16-20,19,0,rule_based
party (172),female,Party,,jeans,top_others,,black,black,turtleneck,hip_length,full_length,pullover,long,,"[85.273895, 122.339745, 170.26898, 231.03305]","[92.253624, 205.27197, 161.97147, 353.88367]",21-25,24,2,rule_based
Travel256,female,Travel,jump_suit,,,,,red,round_neck,below_knee,,pullover,sleeveless,"[401.30365, 362.2003, 883.2283, 1230.6912]",,,26-30,29,1,rule_based
Sports436,female,Sports,,athletic_pants,top_others,jacket,pink,white,round_neck,crop,full_length,pullover,sleeveless,,"[92.1703, 250.78333, 711.9013, 1375.3662]","[97.75637, 824.6329, 608.8599, 1445.1091]",16-20,20,2,rule_based
Travel93,male,Travel,,shorts,t_shirt,,grey,white,round_neck,hip_length,knee_length,pullover,short,,"[163.83281, 178.41283, 300.32944, 350.23117]","[182.12086, 342.05768, 291.27386, 428.81525]",31-40,33,2,rule_based
Travel96,female,Travel,jump_suit,,,,,white,round_neck,below_knee,,pullover,short,"[195.86922, 355.6728, 321.6487, 497.0156]",,,31-40,35,1,rule_based
office375,female,Office,,pants/trousers,top_others,,white,white,turtleneck,hip_length,full_length,pullover,long,,"[198.7574, 218.61319, 595.1586, 718.3434]","[254.02693, 499.30487, 527.37524, 1283.03]",26-30,29,2,rule_based
party (21),male,Party,,jeans,sweater,,blue,grey,collar,hip_length,full_length,pullover,long,,"[219.99564, 85.4308, 425.37006, 327.93298]","[231.08261, 315.29, 393.71997, 653.6902]",21-25,24,0,rule_based
Travel434,female,Travel,,leggings,sweatshirt_hoodies,,black,silver,hooded,hip_length,full_length,pullover,long,,"[244.62778, 246.4222, 359.98883, 418.24048]","[228.87581, 394.5635, 335.503, 577.2393]",21-25,22,2,rule_based
party (317),female,Party,dress,,,,,red,v_neck,below_knee,,zip,sleeveless,"[215.42465, 240.40056, 541.92206, 1161.9628]",,,21-25,24,1,rule_based
party (34),female,Party,,pants/trousers,top_others,,multi,multi,round_neck,hip_length,full_length,pullover,long,,"[206.35927, 207.82112, 351.83258, 450.13477]","[222.8486, 384.84296, 411.92816, 823.5522]",16-20,20,2,rule_based
office392,female,Office,,pants/trousers,top_others,,pink,purple,turtleneck,hip_length,full_length,pullover,long,,"[382.62717, 274.28745, 714.1094, 657.22546]","[403.5201, 501.8521, 651.09235, 1095.7473]",31-40,39,2,rule_based
party (22),male,Party,,pants/trousers,shirt_blouse,coat,black,black,v_neck,hip_length,full_length,pullover,long,,"[224.21802, 154.82977, 521.1337, 608.03735]","[280.58136, 536.8704, 471.9674, 1046.582]",16-20,17,0,rule_based
Travel178,female,Travel,jump_suit,,,,,black,round_neck,thigh_length,full_length,pullover,short,"[485.6338, 373.9669, 802.3335, 1070.1235]",,,31-40,39,1,random_check
Travel279,female,Travel,,shorts,top_others,,blue,multi,round_neck,crop,extra_short,pullover,short,,"[331.5807, 277.08374, 817.5087, 679.6797]","[341.26596, 649.12537, 723.46173, 973.7132]",31-40,33,2,rule_based
party (43),female,Party,,pants/trousers,top_others,,black,black,off_shoulder,hip_length,full_length,pullover,sleeveless,,"[269.1872, 208.37375, 446.41537, 375.48615]","[228.08476, 404.97928, 462.86002, 959.9451]",21-25,25,2,rule_based
wedding (150),male,Wedding,,pants/trousers,shirt_blouse,coat,blue,blue,collar,hip_length,full_length,button,long,,"[23.193794, 189.34538, 316.13284, 544.0422]","[73.73462, 477.26343, 304.65643, 708.17334]",26-30,29,0,rule_based
wedding (279),female,Wedding,dress,,,,,black,halter_neck,below_knee,,pullover,sleeveless,"[65.57072, 106.960915, 212.0451, 586.55945]",,,26-30,26,1,rule_based
prom307,female,Prom,dress,,,,,red,off_shoulder,below_knee,,pullover,short,"[128.66197, 204.21445, 670.7716, 933.3833]",,,16-20,19,1,rule_based
wedding (287),female,Wedding,dress,,,,,pink,round_neck,below_knee,,pullover,sleeveless,"[80.267845, 207.057, 303.9687, 764.55865]",,,26-30,27,1,rule_based
office362,female,Office,dress,,,,,multi,collar,below_knee,,button,long,"[394.95905, 249.82681, 692.29114, 960.0398]",,,26-30,27,1,random_check
Travel117,female,Travel,play_suit,,,,,orange,round_neck,thigh_length,,pullover,sleeveless,"[389.0299, 376.54117, 662.6914, 792.32404]",,,26-30,29,1,random_check
wedding (341),female,Wedding,dress,,,,,multi,round_neck,below_knee,,pullover,long,"[64.40319, 110.041145, 356.2845, 480.71664]",,,26-30,27,1,rule_based
dating (221),female,Dating,dress,,,,,black,off_shoulder,below_knee,,pullover,short,"[406.45346, 279.94968, 664.1556, 1056.182]",,,31-40,33,1,rule_based
dating (182),female,Dating,dress,,,,,red,v_neck,below_knee,,pullover,sleeveless,"[374.9009, 218.07582, 630.1212, 1026.0397]",,,26-30,30,1,rule_based
office248,female,Office,dress,,,,,multi,round_neck,below_knee,,zip,sleeveless,"[602.83887, 290.1145, 993.51556, 1207.9906]",,,26-30,26,1,rule_based
Sports401,male,Sports,,shorts,t_shirt,,red,black,round_neck,hip_length,knee_length,pullover,short,,"[247.56886, 153.1318, 624.3618, 567.0991]","[285.72815, 497.91333, 532.4055, 695.0777]",16-20,17,3,rule_based
Travel272,female,Travel,dress,,,,,black,off_shoulder,below_knee,,pullover,sleeveless,"[597.6966, 443.1819, 798.39746, 1061.6677]",,,26-30,30,1,rule_based
wedding (268),female,Wedding,dress,,,,,red,round_neck,below_knee,,pullover,short,"[44.327423, 342.45407, 466.9395, 743.0612]",,,31-40,39,1,rule_based
wedding (247),female,Wedding,dress,,,,,white,round_neck,below_knee,,pullover,three_quarter,"[161.2422, 215.95732, 299.8654, 483.54977]",,,26-30,26,1,rule_based
dating (289),female,Dating,dress,,,,,black,off_shoulder,below_knee,,pullover,short,"[441.24905, 565.2763, 622.4965, 1174.0149]",,,31-40,38,1,rule_based
party (343),female,Party,dress,,,,,black,v_neck,thigh_length,,zip,long,"[143.72453, 280.40762, 598.3273, 941.83215]",,,16-20,19,1,rule_based
prom355,female,Prom,dress,,,,,blue,off_shoulder,below_knee,,pullover,sleeveless,"[82.65578, 139.29958, 451.3832, 683.5728]",,,16-20,19,1,rule_based
dating (423),male,Dating,,jeans,shirt_blouse,blazer,blue,navy,collar,hip_length,full_length,button,long,,"[60.52764, 59.68048, 170.87312, 202.87473]","[78.85502, 190.77603, 168.55765, 357.2588]",21-25,21,0,random_check
Travel332,female,Travel,,pants/trousers,top_others,,green,white,round_neck,crop,full_length,pullover,short,,"[171.30093, 117.28931, 433.83197, 291.7539]","[189.9466, 274.74756, 414.43695, 897.9612]",16-20,20,2,rule_based
dating (368),male,Dating,,jeans,t_shirt,blazer,blue,black,collar,hip_length,full_length,button,long,,"[154.32657, 141.9816, 303.98892, 370.17993]","[139.24638, 349.7782, 296.99277, 613.6645]",21-25,22,0,rule_based
Travel87,male,Travel,,shorts,shirt_blouse,,brown,white,collar,hip_length,knee_length,button,long,,"[58.1492, 115.336655, 225.65668, 341.62817]","[88.5454, 302.35266, 232.45213, 444.00354]",26-30,26,0,rule_based
Travel67,male,Travel,,pants/trousers,shirt_blouse,,grey,white,round_neck,hip_length,full_length,button,long,,"[178.56668, 203.25838, 311.33878, 373.78665]","[180.87547, 346.2136, 284.6497, 556.73706]",16-20,20,0,random_check
dating (287),female,Dating,jump_suit,,,,,black,halter_neck,below_knee,,pullover,short,"[403.24576, 393.96634, 660.87756, 1104.8495]",,,31-40,35,1,rule_based
party (314),male,Party,,jeans,sweatshirt_hoodies,,blue,grey,round_neck,hip_length,full_length,button,long,,"[135.29535, 131.7176, 454.51898, 550.8572]","[172.68402, 491.16913, 396.3575, 957.7921]",21-25,21,0,rule_based
prom064,male,Prom,,pants/trousers,shirt_blouse,coat,navy,purple,collar,hip_length,full_length,button,long,,"[220.10771, 121.47263, 506.47382, 520.06195]","[268.98358, 425.42136, 450.4689, 798.9631]",16-20,19,0,rule_based
wedding (134),male,Wedding,,pants/trousers,top_others,vest_waistcoat,white,multi,collar,hip_length,full_length,button,long,,"[142.01694, 258.40155, 331.66382, 582.3925]","[145.01598, 546.38544, 321.76642, 699.98596]",16-20,20,0,rule_based
Travel23,male,Travel,,shorts,shirt_blouse,,white,blue,collar,hip_length,knee_length,button,short,,"[141.92242, 73.89948, 323.54623, 242.37265]","[186.57404, 219.89279, 299.71677, 342.38232]",31-40,39,0,rule_based
dating (94),female,Dating,dress,,,coat,,pink,collar,thigh_length,,button,three_quarter,"[455.64206, 509.09796, 712.40704, 924.65375]",,,26-30,28,1,rule_based
Travel100,male,Travel,,pants/trousers,t_shirt,blazer,grey,white,round_neck,hip_length,full_length,pullover,long,,"[143.7434, 142.80821, 338.01993, 343.43872]","[87.59225, 323.54932, 213.83344, 576.40485]",16-20,19,2,rule_based
wedding (163),female,Wedding,dress,,,,,multi,v_neck,knee_length,,pullover,long,"[161.90533, 185.88612, 383.2554, 580.5678]",,,26-30,27,1,rule_based
office423,female,Office,,skirt,top_others,,white,yellow,round_neck,hip_length,full_length,pullover,sleeveless,,"[456.4818, 182.67793, 641.5803, 402.1422]","[448.93756, 389.44196, 677.07196, 883.7183]",31-40,39,2,rule_based
prom209,female,Prom,dress,,,,,silver,halter_neck,below_knee,,pullover,sleeveless,"[70.90009, 126.61907, 467.1716, 753.40753]",,,16-20,17,1,rule_based
Sports132,male,Sports,,shorts,tank_top,,white,black,round_neck,hip_length,knee_length,pullover,sleeveless,,"[179.99878, 94.22387, 300.16122, 317.85452]","[172.44414, 286.61478, 309.99554, 419.2485]",16-20,17,3,random_check
dating (67),female,Dating,dress,,,,,black,off_shoulder,thigh_length,,pullover,short,"[407.4477, 223.43967, 783.0683, 987.3728]",,,31-40,40,1,rule_based
party (165),female,Party,,skirt,top_others,,green,black,halter_neck,crop,thigh_length,pullover,sleeveless,,"[307.1294, 191.23026, 479.09247, 402.1087]","[278.80743, 390.86484, 498.3362, 610.91296]",26-30,26,1,rule_based
dating (260),female,Dating,dress,,,coat,,pink,collar,hip_length,,button,long,"[288.45535, 563.8938, 775.0556, 1266.2834]",,,26-30,30,1,rule_based
party (73),female,Party,,leggings,sweater,,black,grey,turtleneck,hip_length,full_length,pullover,long,,"[84.2963, 228.82738, 366.4826, 589.43915]","[163.72093, 308.8879, 388.40472, 633.9177]",21-25,25,2,rule_based
office318,female,Office,,shorts,t_shirt,,black,black,round_neck,hip_length,extra_short,pullover,long,,"[136.82387, 387.56787, 1058.294, 1088.9432]","[222.17346, 824.37213, 743.7764, 1185.5027]",26-30,30,0,rule_based
dating (398),male,Dating,,jeans,t_shirt,,blue,white,collar,hip_length,full_length,pullover,short,,"[94.903854, 190.9007, 281.57755, 429.25122]","[125.30116, 409.87296, 261.15668, 701.31616]",21-25,24,0,rule_based
prom341,female,Prom,dress,,,,,orange,off_shoulder,below_knee,,pullover,sleeveless,"[235.9529, 236.68024, 592.61694, 960.00507]",,,16-20,19,1,rule_based
party (287),female,Party,jump_suit,,,,,silver,off_shoulder,below_knee,,zip,long,"[266.3547, 247.45827, 509.68967, 1110.8794]",,,16-20,17,1,rule_based
Travel394,male,Travel,,jeans,t_shirt,,blue,black,round_neck,hip_length,full_length,pullover,three_quarter,,"[171.38963, 152.25127, 442.70782, 420.77768]","[235.52043, 410.20645, 415.30945, 804.83044]",21-25,25,0,random_check
Sports84,male,Sports,,athletic_pants,t_shirt,jacket,grey,black,round_neck,hip_length,full_length,pullover,long,,"[198.88348, 89.995415, 391.8111, 355.51962]","[215.36546, 323.88306, 385.55322, 624.04724]",16-20,19,0,rule_based
dating (170),female,Dating,dress,,,,,blue,v_neck,thigh_length,,pullover,long,"[329.3107, 256.3089, 638.16833, 711.3433]",,,26-30,26,1,rule_based
Travel37,female,Travel,,jeans,t_shirt,coat,black,white,round_neck,thigh_length,full_length,pullover,long,,"[54.569103, 120.40113, 236.66798, 404.28848]","[204.6526, 325.29803, 296.22815, 597.9202]",21-25,25,2,random_check
prom028,male,Prom,,pants/trousers,shirt_blouse,blazer,grey,grey,collar,hip_length,full_length,button,long,,"[206.90291, 158.49196, 533.7569, 569.52]","[254.21425, 445.28668, 477.6884, 1005.81024]",16-20,18,0,random_check
Sports52,male,Sports,,leggings,sweatshirt_hoodies,,black,black,hooded,hip_length,full_length,pullover,long,,"[112.77189, 309.3281, 394.80945, 599.8617]","[62.781044, 555.2257, 348.08102, 961.81036]",16-20,17,0,rule_based
dating (263),female,Dating,dress,,,,,blue,turtleneck,below_knee,,pullover,long,"[347.23297, 236.34805, 760.4475, 945.3771]",,,26-30,26,1,random_check
office355,female,Office,dress,,,,,black,v_neck,below_knee,,zip,sleeveless,"[312.57037, 375.44495, 688.8874, 944.2066]",,,26-30,27,1,rule_based
prom103,male,Prom,,pants/trousers,shirt_blouse,blazer,black,black,collar,hip_length,full_length,button,long,,"[129.70218, 95.6487, 336.92273, 372.1129]","[163.80986, 299.55115, 306.04758, 671.88367]",16-20,17,0,rule_based
wedding (182),female,Wedding,,skirt,shirt_blouse,,pink,pink,halter_neck,crop,calf_length,pullover,sleeveless,,"[59.9956, 147.54182, 393.78687, 757.2261]","[24.675196, 717.3812, 100.6202, 812.3337]",31-40,40,1,random_check
wedding (126),male,Wedding,,pants/trousers,shirt_blouse,coat,white,multi,collar,hip_length,full_length,button,long,,"[112.32559, 211.45168, 284.36078, 443.5441]","[136.47224, 369.14145, 250.95374, 629.25415]",16-20,17,0,rule_based
Travel112,female,Travel,,pants/trousers,t_shirt,blazer,black,white,round_neck,hip_length,full_length,pullover,long,,"[176.97844, 152.82243, 327.222, 374.69125]","[184.08766, 323.29453, 304.3202, 657.48926]",16-20,18,2,rule_based
wedding (317),female,Wedding,dress,,,,,multi,halter_neck,below_knee,,pullover,short,"[138.7462, 187.69974, 365.98865, 671.8844]",,,31-40,36,1,rule_based
party (142),male,Party,,jeans,t_shirt,jacket,black,multi,round_neck,hip_length,full_length,pullover,long,,"[211.38623, 150.68742, 396.05148, 371.99283]","[244.8649, 343.36856, 379.36276, 616.3616]",16-20,17,0,rule_based
Sports118,male,Sports,,athletic_pants,t_shirt,,black,black,round_neck,hip_length,full_length,pullover,long,,"[158.78384, 110.83592, 327.1097, 367.02933]","[160.97083, 308.02094, 299.30005, 592.39404]",16-20,20,0,rule_based
wedding (69),male,Wedding,,pants/trousers,top_others,blazer,black,multi,collar,hip_length,full_length,button,long,,"[45.766415, 97.97899, 238.24472, 393.1329]","[75.93494, 349.6213, 263.06717, 563.23224]",16-20,16,0,rule_based
Travel65,female,Travel,,jeans,t_shirt,,grey,white,round_neck,hip_length,full_length,pullover,short,,"[182.43834, 135.85057, 300.35083, 282.7721]","[164.76622, 271.36517, 283.30115, 496.31833]",16-20,17,2,rule_based
Travel136,male,Travel,,shorts,t_shirt,,grey,brown,round_neck,hip_length,thigh_length,pullover,short,,"[239.35474, 215.65128, 415.92773, 398.93893]","[230.52817, 378.94083, 416.1926, 491.16455]",31-40,36,0,rule_based
Travel486,male,Travel,,pants/trousers,shirt_blouse,,brown,blue,collar,hip_length,full_length,button,short,,"[422.43732, 242.77864, 658.85547, 512.0038]","[450.30637, 485.69867, 623.4331, 894.13684]",31-40,40,0,rule_based
office227,female,Office,,shorts,top_others,,black,white,round_neck,hip_length,thigh_length,pullover,three_quarter,,"[384.295, 357.37823, 665.6713, 750.96344]","[595.37665, 814.88336, 739.9351, 1146.9387]",26-30,26,2,rule_based
Travel401,female,Travel,dress,,,,,white,v_neck,thigh_length,,pullover,sleeveless,"[188.88945, 128.37126, 317.2504, 350.12085]",,,26-30,30,1,rule_based
Travel161,male,Travel,,pants/trousers,shirt_blouse,,brown,blue,collar,hip_length,full_length,button,three_quarter,,"[146.30252, 148.7263, 306.24362, 291.26932]","[192.00928, 289.94492, 294.7443, 500.86557]",16-20,16,0,rule_based
dating (403),male,Dating,,pants/trousers,t_shirt,jacket,blue,brown,collar,hip_length,full_length,zip,long,,"[109.56645, 88.87961, 347.76974, 371.04105]","[153.09183, 308.07867, 328.6303, 619.44037]",21-25,22,0,rule_based
dating (425),male,Dating,,pants/trousers,t_shirt,,grey,white,v_neck,hip_length,full_length,pullover,three_quarter,,"[210.5202, 215.91272, 358.9732, 440.9588]","[205.728, 431.35486, 325.3984, 719.2155]",21-25,21,0,random_check
Travel158,female,Travel,,shorts,top_others,,red,black,round_neck,hip_length,thigh_length,pullover,sleeveless,,"[162.17386, 231.25911, 273.40543, 431.37112]","[103.11663, 429.64624, 185.76253, 649.86224]",26-30,30,1,random_check
office033,male,Office,,pants/trousers,shirt_blouse,,black,white,collar,hip_length,full_length,button,long,,"[59.318184, 37.66607, 161.29512, 156.43288]","[67.515526, 125.45914, 141.03859, 282.45053]",26-30,29,0,rule_based
office364,female,Office,,pants/trousers,top_others,coat,grey,grey,round_neck,hip_length,full_length,pullover,long,,"[271.2532, 197.57262, 620.50226, 676.03534]","[280.65085, 587.92065, 649.19867, 1066.5267]",26-30,26,2,rule_based
Sports20,male,Sports,,athletic_pants,sweatshirt_hoodies,,grey,black,hooded,hip_length,full_length,pullover,long,,"[138.92627, 171.53374, 362.68716, 452.45135]","[150.22772, 422.4459, 298.66058, 707.85187]",16-20,18,0,rule_based
party (32),male,Party,,pants/trousers,t_shirt,,multi,black,collar,hip_length,full_length,pullover,short,,"[190.2871, 126.29369, 437.40878, 411.19135]","[224.28851, 367.19803, 400.5876, 729.37714]",16-20,20,0,rule_based
