image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox
Travel14,female,Travel,nan,shorts,t_shirt,nan,white,black,round_neck,crop,extra_short,pullover,short,nan,"[39.723946, 224.9168, 326.46298, 480.5974]","[39.088913, 263.0701, 286.875, 620.7329]"
Travel15,male,Travel,nan,pants/trousers,nan,jacket,black,black,round_neck,hip_length,full_length,zip,long,nan,"[129.83879, 93.377754, 375.46924, 339.09164]","[171.78284, 280.00903, 302.09476, 552.989]"
Travel16,female,Travel,nan,skirt,tank_top,nan,white,blue,round_neck,hip_length,calf_length,pullover,sleeveless,nan,"[162.71368, 309.68677, 300.44174, 603.0035]","[128.14008, 312.24286, 194.79239, 434.07373]"
Travel17,female,Travel,nan,pants/trousers,t_shirt,blazer,black,white,round_neck,hip_length,full_length,pullover,long,nan,"[110.553825, 87.11691, 319.39645, 340.33734]","[155.70108, 279.61316, 303.832, 584.10706]"
Travel18,female,Travel,nan,pants/trousers,t_shirt,jacket,brown,white,round_neck,hip_length,full_length,pullover,three_quarter,nan,"[98.81047, 94.01259, 248.2993, 276.98676]","[120.669495, 259.0908, 227.99643, 478.6138]"
Travel19,male,Travel,nan,pants/trousers,shirt_blouse,nan,brown,multi,collar,hip_length,full_length,button,three_quarter,nan,"[120.543, 103.537994, 330.13046, 297.02652]","[144.57178, 286.33542, 307.91226, 595.8889]"
Travel20,female,Travel,nan,shorts,tank_top,cardigan,blue,white,round_neck,hip_length,full_length,pullover,sleeveless,nan,"[100.733795, 111.049164, 285.3647, 339.5491]","[96.78001, 171.63632, 162.39444, 349.6696]"
Travel21,female,Travel,nan,skirt,top_others,nan,multi,black,round_neck,hip_length,thigh_length,pullover,sleeveless,nan,"[156.33833, 134.29803, 223.08174, 205.53693]","[147.0699, 203.07289, 217.95271, 277.25143]"
Travel22,male,Travel,nan,pants/trousers,shirt_blouse,nan,black,white,collar,hip_length,full_length,button,short,nan,"[157.87695, 81.359436, 305.46747, 257.88223]","[181.00288, 224.20038, 301.4431, 469.05603]"
Travel23,male,Travel,nan,shorts,shirt_blouse,nan,white,blue,collar,hip_length,knee_length,button,short,nan,"[141.92242, 73.89948, 323.54623, 242.37265]","[186.57404, 219.89279, 299.71677, 342.38232]"
Travel24,male,Travel,nan,pants/trousers,shirt_blouse,blazer,black,white,collar,hip_length,full_length,button,long,nan,"[151.81944, 128.82054, 335.94196, 374.2088]","[172.06311, 335.59763, 307.13998, 630.5071]"
Travel25,male,Travel,nan,jeans,t_shirt,nan,grey,yellow,round_neck,hip_length,full_length,pullover,long,nan,"[126.10701, 115.34276, 334.45325, 380.56024]","[141.84526, 347.39667, 300.0491, 678.88245]"
Travel26,female,Travel,play_suit,nan,tank_top,nan,nan,blue,round_neck,thigh_length,nan,pullover,sleeveless,"[202.84792, 164.59818, 315.71393, 372.83615]",nan,nan
Travel27,female,Travel,dress,nan,nan,nan,nan,white,v_neck,knee_length,nan,pullover,three_quarter,"[100.88366, 281.6411, 229.91011, 515.8642]",nan,nan
Travel28,female,Travel,nan,pants/trousers,top_others,nan,black,white,round_neck,hip_length,calf_length,pullover,sleeveless,nan,"[190.59302, 153.50923, 296.71234, 276.15604]","[161.91158, 263.83737, 301.6881, 550.8424]"
Travel29,male,Travel,nan,pants/trousers,shirt_blouse,nan,brown,black,collar,hip_length,full_length,button,three_quarter,nan,"[138.28168, 382.17664, 370.7578, 562.0072]","[137.33247, 537.9298, 379.1879, 750.19574]"
Travel30,female,Travel,nan,shorts,shirt_blouse,nan,pink,white,collar,hip_length,thigh_length,button,three_quarter,nan,"[159.20872, 248.17995, 310.39163, 392.92838]","[187.95612, 375.06265, 291.6355, 471.56036]"
Travel31,female,Travel,dress,nan,nan,nan,nan,green,v_neck,below_knee,nan,pullover,short,"[155.11696, 381.0664, 428.54654, 931.5057]",nan,nan
Travel32,female,Travel,nan,athletic_pants,t_shirt,cardigan,black,black,round_neck,crop,calf_length,pullover,long,nan,"[330.15237, 342.22473, 575.66516, 633.1516]","[365.62274, 433.14166, 571.37225, 918.1257]"
Travel33,male,Travel,nan,shorts,shirt_blouse,nan,brown,blue,collar,hip_length,knee_length,button,three_quarter,nan,"[149.91339, 3.9452574, 284.08145, 79.4651]","[120.30626, 113.27308, 331.08945, 354.29047]"
Travel34,female,Travel,dress,nan,nan,nan,blue,blue,v_neck,thigh_length,nan,pullover,long,"[86.75204, 157.34872, 372.22894, 406.16293]",nan,nan
Travel35,female,Travel,dress,nan,nan,coat,black,black,round_neck,below_knee,nan,pullover,three_quarter,"[123.268295, 180.41803, 336.53644, 618.58014]",nan,nan
Travel36,female,Travel,dress,nan,nan,nan,white,white,halter_neck,knee_length,nan,pullover,sleeveless,"[141.84668, 203.67546, 334.742, 545.84186]",nan,nan
Travel37,female,Travel,nan,jeans,t_shirt,coat,black,white,round_neck,thigh_length,full_length,pullover,long,nan,"[54.569103, 120.40113, 236.66798, 404.28848]","[204.6526, 325.29803, 296.22815, 597.9202]"
Travel38,male,Travel,nan,jeans,t_shirt,nan,navy,navy,round_neck,hip_length,full_length,pullover,three_quarter,nan,"[196.27353, 208.45781, 378.50842, 391.4253]","[239.55992, 370.86307, 392.70822, 591.4764]"
Travel39,female,Travel,nan,skirt,top_others,nan,brown,brown,round_neck,hip_length,full_length,pullover,sleeveless,nan,"[109.096405, 182.92561, 318.0341, 640.59814]","[156.62286, 631.5664, 223.73734, 698.59656]"
Travel40,female,Travel,dress,nan,nan,nan,nan,white,v_neck,below_knee,nan,pullover,sleeveless,"[177.46465, 213.61664, 297.99786, 565.06396]",nan,nan
Travel41,female,Travel,nan,shorts,top_others,jacket,multi,white,v_neck,hip_length,thigh_length,pullover,long,nan,"[105.67569, 140.48772, 331.637, 382.48392]","[111.089195, 328.6328, 275.2581, 493.0992]"
Travel42,male,Travel,nan,jeans,t_shirt,nan,black,black,round_neck,hip_length,full_length,pullover,three_quarter,nan,"[160.21718, 73.18031, 309.206, 199.80777]","[190.47154, 191.49583, 290.72147, 395.1906]"
Travel43,male,Travel,nan,pants/trousers,t_shirt,jacket,white,blue,collar,hip_length,full_length,button,three_quarter,nan,"[160.44775, 173.72757, 339.1497, 398.2202]","[186.97456, 320.6869, 299.7308, 573.06726]"
Travel44,female,Travel,nan,jeans,shirt_blouse,nan,navy,purple,round_neck,hip_length,full_length,button,three_quarter,nan,"[153.24417, 192.57646, 312.69006, 380.2453]","[170.897, 350.686, 289.6589, 609.00146]"
Travel45,male,Travel,nan,shorts,t_shirt,nan,multi,white,round_neck,hip_length,knee_length,pullover,short,nan,"[178.39172, 82.803185, 302.34198, 235.39317]","[186.36588, 218.82758, 316.74234, 357.89426]"
Travel46,female,Travel,nan,skirt,shirt_blouse,nan,black,white,collar,hip_length,calf_length,button,long,nan,"[119.728455, 210.82338, 324.41504, 442.0336]","[151.72505, 350.41348, 302.19702, 637.39966]"
Travel47,female,Travel,nan,athletic_pants,top_others,jacket,black,green,round_neck,hip_length,full_length,pullover,long,nan,"[219.20987, 210.47446, 365.14035, 417.15582]","[206.7842, 430.62552, 355.30725, 669.09674]"
Travel48,male,Travel,nan,shorts,tank_top,nan,white,orange,round_neck,hip_length,knee_length,pullover,sleeveless,nan,"[190.36449, 181.76245, 304.26477, 373.45007]","[187.78134, 360.31992, 306.2912, 479.07513]"
Travel49,male,Travel,nan,pants/trousers,t_shirt,nan,black,brown,turtleneck,hip_length,full_length,pullover,three_quarter,nan,"[113.55293, 138.75786, 308.3648, 323.68124]","[124.242615, 301.1746, 335.1718, 509.6399]"
Travel50,male,Travel,nan,jeans,t_shirt,nan,black,grey,round_neck,hip_length,full_length,pullover,long,nan,"[144.83517, 63.42508, 309.7157, 239.64197]","[109.76726, 74.244865, 221.72093, 318.56067]"
Travel51,female,Travel,nan,shorts,t_shirt,nan,multi,white,round_neck,hip_length,extra_short,pullover,short,nan,"[134.03503, 151.64027, 305.28754, 343.0593]","[77.79697, 415.00992, 181.0067, 589.95264]"
Travel52,male,Travel,nan,shorts,t_shirt,nan,navy,black,v_neck,hip_length,knee_length,pullover,short,nan,"[147.81075, 132.48137, 316.863, 332.9121]","[169.17744, 316.54324, 298.69592, 442.33395]"
Travel53,male,Travel,nan,shorts,shirt_blouse,nan,navy,black,collar,hip_length,knee_length,button,short,nan,"[207.22882, 211.2371, 424.0535, 534.3843]","[161.21616, 461.47516, 377.35333, 643.7612]"
Travel54,male,Travel,nan,pants/trousers,shirt_blouse,blazer,navy,white,collar,hip_length,full_length,button,long,nan,"[52.746506, 100.115585, 285.5951, 406.06345]","[87.85995, 309.84964, 236.3871, 643.24725]"
Travel55,male,Travel,nan,jeans,t_shirt,nan,navy,white,round_neck,hip_length,full_length,pullover,short,nan,"[224.1564, 103.1663, 412.16434, 352.6894]","[217.01099, 348.3489, 364.17865, 637.59235]"
Travel56,male,Travel,nan,pants/trousers,shirt_blouse,nan,white,white,collar,hip_length,full_length,button,three_quarter,nan,"[166.9903, 133.15291, 324.18246, 342.1585]","[172.52281, 315.10248, 290.74194, 563.62976]"
Travel57,female,Travel,nan,shorts,t_shirt,nan,black,grey,round_neck,hip_length,thigh_length,pullover,long,nan,"[173.17804, 196.64127, 360.24045, 346.18576]","[113.77218, 301.455, 235.36632, 567.97186]"
Travel58,male,Travel,nan,shorts,t_shirt,nan,green,white,v_neck,hip_length,knee_length,pullover,short,nan,"[194.89459, 134.0359, 308.21014, 285.53732]","[180.41264, 289.76996, 280.21582, 403.4182]"
Travel59,male,Travel,nan,shorts,shirt_blouse,nan,brown,red,collar,hip_length,thigh_length,button,three_quarter,nan,"[134.59587, 94.35899, 312.4703, 323.3991]","[176.59271, 272.0039, 285.92572, 370.49234]"
Travel60,male,Travel,nan,shorts,shirt_blouse,nan,grey,blue,collar,hip_length,knee_length,button,short,nan,"[28.535395, 116.12557, 436.13635, 687.45685]","[31.668045, 557.33594, 347.31216, 884.3371]"
Travel61,male,Travel,nan,pants/trousers,t_shirt,nan,brown,white,round_neck,hip_length,full_length,pullover,short,nan,"[150.69072, 153.22482, 321.90057, 322.7643]","[122.4761, 313.18774, 294.99976, 602.3084]"
Travel62,male,Travel,nan,pants/trousers,t_shirt,nan,black,grey,round_neck,hip_length,full_length,pullover,short,nan,"[134.88014, 107.990654, 369.91013, 342.2614]","[148.4435, 314.99695, 454.31592, 542.7641]"
Travel63,male,Travel,nan,jeans,t_shirt,jacket,grey,navy,round_neck,hip_length,full_length,pullover,long,nan,"[136.03108, 136.56985, 337.20786, 368.27258]","[195.0338, 310.946, 298.13852, 567.316]"
Travel64,male,Travel,nan,shorts,shirt_blouse,nan,navy,white,collar,hip_length,knee_length,button,three_quarter,nan,"[107.58226, 238.34471, 364.86432, 400.7997]","[196.84413, 394.0513, 295.1973, 486.47394]"
Travel65,female,Travel,nan,jeans,t_shirt,nan,grey,white,round_neck,hip_length,full_length,pullover,short,nan,"[182.43834, 135.85057, 300.35083, 282.7721]","[164.76622, 271.36517, 283.30115, 496.31833]"
Travel66,male,Travel,nan,jeans,sweatshirt_hoodies,jacket,black,grey,hooded,hip_length,full_length,pullover,long,nan,"[137.30981, 57.756207, 320.12936, 244.49336]","[179.85083, 224.80457, 282.02405, 411.96448]"
Travel67,male,Travel,nan,pants/trousers,shirt_blouse,nan,grey,white,round_neck,hip_length,full_length,button,long,nan,"[178.56668, 203.25838, 311.33878, 373.78665]","[180.87547, 346.2136, 284.6497, 556.73706]"
Travel68,male,Travel,nan,shorts,t_shirt,nan,grey,grey,round_neck,hip_length,knee_length,button,three_quarter,nan,"[153.55011, 89.77829, 301.263, 296.2712]","[140.64218, 267.38162, 290.66028, 412.45355]"
Travel69,male,Travel,nan,shorts,t_shirt,nan,pink,grey,round_neck,hip_length,thigh_length,pullover,short,nan,"[173.13628, 150.43886, 314.17822, 315.26035]","[189.22992, 302.2238, 296.51196, 393.35977]"
Travel70,male,Travel,nan,pants/trousers,sweater,nan,silver,black,turtleneck,hip_length,full_length,pullover,long,nan,"[66.595215, 238.65611, 392.7584, 521.17664]","[142.11908, 493.32614, 362.10516, 955.97156]"
Travel71,male,Travel,nan,shorts,tank_top,nan,green,black,round_neck,hip_length,thigh_length,pullover,sleeveless,nan,"[191.9151, 275.18536, 302.86984, 453.22394]","[189.2206, 431.38516, 295.6759, 504.61038]"
Travel72,female,Travel,nan,shorts,top_others,cardigan,blue,black,halter_neck,crop,extra_short,pullover,sleeveless,nan,"[188.27176, 84.00651, 268.4321, 119.25653]","[61.394577, 150.10878, 385.08044, 576.48645]"
Travel73,male,Travel,nan,jeans,shirt_blouse,nan,black,white,collar,hip_length,full_length,button,short,nan,"[197.87617, 100.8981, 365.51413, 298.46762]","[243.10846, 257.53613, 370.25534, 503.49863]"
Travel74,male,Travel,nan,jeans,t_shirt,nan,navy,grey,round_neck,hip_length,full_length,pullover,short,nan,"[114.07114, 168.42117, 331.8899, 429.90393]","[126.14869, 402.79922, 304.54483, 745.4295]"
Travel75,male,Travel,nan,pants/trousers,t_shirt,nan,grey,navy,collar,hip_length,full_length,button,short,nan,"[122.13479, 316.26392, 248.3272, 633.27045]","[218.48808, 369.73715, 330.07275, 622.415]"
Travel76,male,Travel,nan,jeans,sweatshirt_hoodies,nan,black,green,hooded,hip_length,full_length,pullover,long,nan,"[172.60045, 104.01649, 354.9917, 360.63327]","[198.0429, 347.28253, 302.1803, 649.30786]"
Travel77,male,Travel,nan,pants/trousers,shirt_blouse,nan,black,white,collar,hip_length,full_length,button,long,nan,"[41.26396, 109.9746, 216.08125, 249.39877]","[60.52573, 202.16649, 254.4491, 422.78015]"
Travel78,male,Travel,nan,pants/trousers,shirt_blouse,nan,black,white,collar,hip_length,full_length,button,three_quarter,nan,"[98.08091, 228.98311, 379.5591, 565.49536]","[132.62764, 537.46906, 318.9896, 868.0779]"
Travel79,female,Travel,nan,pants/trousers,top_others,nan,white,red,round_neck,hip_length,full_length,pullover,sleeveless,nan,"[148.47223, 144.84042, 227.10156, 245.6194]","[147.1434, 237.08516, 279.08368, 467.94107]"
Travel80,male,Travel,nan,athletic_pants,sweatshirt_hoodies,nan,navy,white,turtleneck,hip_length,full_length,pullover,long,nan,"[92.92237, 116.38944, 255.44958, 283.7607]","[126.182915, 271.22028, 245.13176, 510.76126]"
Travel81,male,Travel,nan,shorts,shirt_blouse,nan,brown,blue,collar,hip_length,knee_length,button,three_quarter,nan,"[56.3071, 221.23943, 411.57663, 633.85175]","[132.45135, 572.6171, 339.45364, 775.9575]"
Travel82,male,Travel,nan,jeans,shirt_blouse,jacket,navy,white,round_neck,hip_length,full_length,pullover,three_quarter,nan,"[132.20755, 123.59046, 340.84854, 386.26688]","[181.34195, 379.61725, 314.73877, 603.2714]"
Travel83,male,Travel,nan,jeans,t_shirt,jacket,black,black,round_neck,hip_length,full_length,pullover,long,nan,"[7.312069, 104.854095, 265.05978, 361.4941]","[89.31138, 329.1393, 256.16037, 612.3174]"
Travel84,female,Travel,dress,nan,nan,nan,nan,white,halter_neck,thigh_length,nan,pullover,sleeveless,"[153.63518, 160.8372, 311.40915, 499.20886]",nan,nan
Travel85,male,Travel,nan,jeans,shirt_blouse,nan,green,blue,collar,thigh_length,full_length,button,short,nan,"[90.33905, 197.72504, 260.43628, 393.21393]","[110.45554, 365.09848, 239.27853, 610.42004]"
Travel86,male,Travel,nan,shorts,shirt_blouse,nan,white,pink,collar,hip_length,knee_length,button,short,nan,"[123.733826, 163.35579, 306.27722, 373.34]","[171.68764, 346.73206, 314.31036, 476.4579]"
Travel87,male,Travel,nan,shorts,shirt_blouse,nan,brown,white,collar,hip_length,knee_length,button,long,nan,"[58.1492, 115.336655, 225.65668, 341.62817]","[88.5454, 302.35266, 232.45213, 444.00354]"
Travel88,female,Travel,nan,jeans,top_others,cardigan,navy,grey,round_neck,hip_length,full_length,pullover,long,nan,"[178.91083, 164.90454, 314.2125, 380.18317]","[269.52493, 270.25488, 412.07874, 637.96765]"
Travel89,female,Travel,dress,nan,nan,nan,nan,blue,round_neck,knee_length,nan,pullover,sleeveless,"[215.37692, 183.27989, 439.29224, 459.02338]",nan,nan
Travel90,female,Travel,nan,jeans,t_shirt,jacket,black,white,round_neck,hip_length,full_length,pullover,long,nan,"[4.970525, 209.66794, 331.12094, 545.976]","[59.799793, 515.1183, 241.57819, 870.1941]"
Travel91,male,Travel,nan,shorts,t_shirt,nan,grey,white,v_neck,hip_length,knee_length,button,three_quarter,nan,"[66.27018, 49.718906, 184.93135, 186.55667]","[79.25379, 172.71548, 166.25372, 258.0336]"
Travel92,male,Travel,nan,jeans,t_shirt,jacket,navy,grey,round_neck,hip_length,knee_length,pullover,long,nan,"[135.79265, 123.344315, 332.6762, 400.19604]","[170.93715, 374.64127, 308.18585, 631.28485]"
Travel93,male,Travel,nan,shorts,t_shirt,nan,grey,white,round_neck,hip_length,knee_length,pullover,short,nan,"[163.83281, 178.41283, 300.32944, 350.23117]","[182.12086, 342.05768, 291.27386, 428.81525]"
Travel94,male,Travel,nan,pants/trousers,t_shirt,nan,brown,white,round_neck,hip_length,full_length,pullover,long,nan,"[177.76859, 240.93135, 421.07062, 490.62897]","[159.93625, 463.77332, 398.50504, 861.2289]"
Travel95,male,Travel,nan,shorts,shirt_blouse,nan,navy,multi,collar,hip_length,knee_length,button,three_quarter,nan,"[94.42121, 212.94748, 381.86203, 523.9479]","[147.53372, 496.88058, 346.82092, 679.9252]"
Travel96,female,Travel,jump_suit,nan,nan,nan,nan,white,round_neck,below_knee,nan,pullover,short,"[195.86922, 355.6728, 321.6487, 497.0156]",nan,nan
Travel97,male,Travel,nan,jeans,t_shirt,nan,blue,black,round_neck,hip_length,full_length,pullover,short,nan,"[127.213425, 109.95983, 326.8809, 378.01523]","[146.09615, 362.12888, 291.29385, 640.88055]"
Travel98,male,Travel,nan,pants/trousers,t_shirt,jacket,white,white,round_neck,hip_length,full_length,pullover,long,nan,"[166.226, 124.44836, 359.9232, 361.84048]","[197.37189, 324.32004, 322.31512, 611.76886]"
Travel99,male,Travel,nan,athletic_pants,t_shirt,nan,green,grey,round_neck,hip_length,calf_length,pullover,three_quarter,nan,"[151.95628, 134.36737, 363.95236, 351.14453]","[148.60959, 333.41208, 317.27225, 597.6664]"
Travel100,male,Travel,nan,pants/trousers,t_shirt,blazer,grey,white,round_neck,hip_length,full_length,pullover,long,nan,"[143.7434, 142.80821, 338.01993, 343.43872]","[87.59225, 323.54932, 213.83344, 576.40485]"
Travel101,male,Travel,nan,pants/trousers,sweater,nan,black,navy,round_neck,hip_length,full_length,pullover,long,nan,"[128.51051, 107.61432, 335.95676, 375.11047]","[169.2596, 314.553, 324.81192, 637.8881]"
Travel102,male,Travel,nan,pants/trousers,t_shirt,jacket,navy,black,round_neck,hip_length,full_length,pullover,long,nan,"[121.59777, 108.488625, 317.59177, 360.05362]","[157.23206, 325.54742, 311.6994, 636.4287]"
Travel103,male,Travel,nan,pants/trousers,shirt_blouse,nan,black,black,collar,hip_length,full_length,button,three_quarter,nan,"[125.680565, 107.34791, 349.62228, 310.98398]","[161.64864, 306.14978, 309.55566, 649.9953]"
Travel104,male,Travel,nan,shorts,shirt_blouse,nan,brown,blue,collar,hip_length,knee_length,button,three_quarter,nan,"[75.25841, 89.65276, 327.82803, 376.30316]","[140.23071, 334.86914, 308.11728, 518.5326]"
Travel105,female,Travel,nan,leggings,t_shirt,cardigan,black,black,round_neck,thigh_length,full_length,pullover,three_quarter,nan,"[165.95094, 133.03789, 423.69073, 460.6789]","[90.62971, 295.01224, 210.80429, 734.26324]"
Travel106,male,Travel,nan,shorts,shirt_blouse,nan,navy,blue,collar,hip_length,knee_length,button,short,nan,"[141.34604, 78.10312, 310.89267, 306.63043]","[160.15622, 270.19388, 276.9115, 400.42178]"
Travel107,male,Travel,nan,pants/trousers,shirt_blouse,blazer,black,black,collar,hip_length,full_length,button,long,nan,"[86.595024, 116.06005, 359.71902, 440.4406]","[154.58147, 345.26212, 299.40338, 674.37714]"
Travel108,female,Travel,nan,shorts,shirt_blouse,nan,blue,yellow,v_neck,hip_length,extra_short,button,three_quarter,nan,"[136.79767, 186.08154, 381.39545, 448.9338]","[144.46251, 394.07846, 326.0451, 548.77344]"
Travel109,male,Travel,nan,pants/trousers,shirt_blouse,nan,silver,white,collar,hip_length,full_length,button,short,nan,"[178.04584, 131.28966, 325.26572, 282.05704]","[201.58478, 271.83377, 303.3605, 502.34085]"
Travel110,female,Travel,nan,shorts,top_others,nan,blue,black,round_neck,hip_length,extra_short,pullover,sleeveless,nan,"[279.7819, 158.21234, 321.60413, 371.0849]","[198.57452, 158.49692, 294.7726, 313.72485]"
Travel111,male,Travel,nan,pants/trousers,shirt_blouse,blazer,brown,black,collar,hip_length,full_length,button,long,nan,"[140.77863, 105.330635, 301.75085, 363.9168]","[163.85007, 300.21155, 299.1659, 579.42615]"
Travel112,female,Travel,nan,pants/trousers,t_shirt,blazer,black,white,round_neck,hip_length,full_length,pullover,long,nan,"[176.97844, 152.82243, 327.222, 374.69125]","[184.08766, 323.29453, 304.3202, 657.48926]"
Travel113,female,Travel,nan,shorts,tank_top,nan,multi,white,round_neck,hip_length,extra_short,pullover,sleeveless,nan,"[180.62735, 127.80864, 290.7607, 272.78174]","[163.73643, 265.93835, 309.30444, 410.24936]"
Travel114,female,Travel,nan,pants/trousers,shirt_blouse,nan,black,grey,v_neck,hip_length,full_length,button,three_quarter,nan,"[133.85135, 88.141, 317.57166, 273.81186]","[149.77086, 264.51935, 360.9807, 619.3213]"
Travel115,male,Travel,nan,shorts,shirt_blouse,nan,multi,black,collar,hip_length,knee_length,button,short,nan,"[112.145294, 103.35227, 365.73877, 367.90945]","[157.98691, 327.10217, 303.24622, 484.50815]"
Travel116,male,Travel,nan,shorts,shirt_blouse,nan,blue,white,collar,hip_length,knee_length,button,three_quarter,nan,"[115.986916, 137.04555, 356.9034, 434.75436]","[236.25581, 465.61655, 428.16318, 713.35724]"
Travel117,female,Travel,play_suit,nan,nan,nan,nan,orange,round_neck,thigh_length,nan,pullover,sleeveless,"[389.0299, 376.54117, 662.6914, 792.32404]",nan,nan
Travel118,male,Travel,nan,pants/trousers,shirt_blouse,nan,white,brown,collar,hip_length,full_length,button,long,nan,"[137.85983, 115.747765, 344.70444, 380.6785]","[171.88814, 330.28992, 340.5517, 648.84796]"
Travel119,male,Travel,nan,pants/trousers,shirt_blouse,nan,grey,blue,collar,hip_length,full_length,button,three_quarter,nan,"[189.07109, 132.80173, 404.77042, 395.03513]","[235.5208, 351.92316, 366.6834, 669.67194]"
Travel120,female,Travel,nan,pants/trousers,t_shirt,nan,white,white,round_neck,crop,full_length,pullover,sleeveless,nan,"[97.51122, 223.36623, 290.9555, 381.8946]","[113.23796, 355.27625, 313.69894, 641.3774]"
Travel121,female,Travel,nan,pants/trousers,t_shirt,nan,white,multi,round_neck,hip_length,full_length,pullover,long,nan,"[72.13513, 85.67917, 174.36172, 241.0331]","[80.228065, 214.08553, 174.70341, 459.29388]"
Travel122,male,Travel,nan,pants/trousers,shirt_blouse,nan,brown,blue,collar,hip_length,full_length,button,long,nan,"[141.38123, 91.99994, 370.0175, 320.29578]","[162.91411, 268.66165, 313.3815, 526.3578]"
Travel123,male,Travel,nan,athletic_pants,t_shirt,nan,black,green,v_neck,hip_length,full_length,pullover,three_quarter,nan,"[162.11472, 95.409836, 367.37952, 301.51382]","[65.9719, 302.02426, 196.1621, 570.9808]"
Travel124,female,Travel,nan,shorts,shirt_blouse,nan,brown,multi,collar,hip_length,knee_length,button,short,nan,"[162.62782, 235.53531, 294.4811, 423.9821]","[194.66333, 404.1761, 298.74655, 498.49014]"
Travel125,female,Travel,nan,pants/trousers,top_others,nan,brown,white,round_neck,hip_length,calf_length,pullover,sleeveless,nan,"[178.50487, 126.02029, 255.73444, 189.53275]","[170.11772, 273.1555, 317.47183, 561.9832]"
Travel126,male,Travel,nan,jeans,t_shirt,nan,navy,white,round_neck,hip_length,full_length,pullover,three_quarter,nan,"[148.00789, 243.06033, 351.07706, 472.20572]","[163.57811, 455.40237, 320.94135, 747.5991]"
Travel127,male,Travel,nan,jeans,shirt_blouse,nan,blue,white,collar,hip_length,full_length,button,long,nan,"[192.35371, 131.73029, 333.83932, 423.8542]","[103.19377, 393.34363, 400.94138, 693.0299]"
Travel128,male,Travel,nan,shorts,shirt_blouse,nan,blue,black,collar,hip_length,knee_length,button,short,nan,"[89.56443, 144.23042, 242.55647, 331.42267]","[128.56197, 298.92264, 231.84816, 394.40057]"
Travel129,female,Travel,nan,jeans,top_others,nan,blue,black,round_neck,hip_length,full_length,pullover,short,nan,"[264.48465, 142.3793, 395.5523, 389.58746]","[171.01057, 290.66574, 315.16074, 616.4324]"
